iter	F1	Logloss
0	0	0.6648838623
1	0	0.6385797545
2	0	0.6141114038
3	0	0.5926741213
4	0	0.5759071158
5	0	0.5601476677
6	0	0.546869211
7	0	0.5349980815
8	0	0.5214718099
9	0	0.5098163409
10	0	0.5005080547
11	0	0.4921851588
12	0	0.4854204154
13	0	0.47954898
14	0	0.4736774172
15	0	0.4674907082
16	0	0.462141281
17	0	0.4563742677
18	0	0.4523171755
19	0	0.4494786493
20	0	0.4466762054
21	0	0.4437898094
22	0	0.4405945538
23	0	0.4388065429
24	0	0.4363975715
25	0	0.433655162
26	0	0.4320175487
27	0	0.4285747896
28	0	0.4260668819
29	0	0.4232748339
30	0	0.4216107071
31	0	0.4204496787
32	0	0.4186187628
33	0	0.4167784167
34	0	0.415078413
35	0	0.4137970021
36	0	0.4118504032
37	0	0.4097567685
38	0	0.4094338771
39	0	0.408424385
40	0	0.4063084376
41	0	0.4051835379
42	0	0.4034416489
43	0	0.4018264252
44	0	0.4000718225
45	0	0.3982779264
46	0	0.3970554691
47	0	0.3950593475
48	0	0.3940831657
49	0	0.3925780899
50	0	0.3921143716
51	0	0.3906792103
52	0	0.3893937806
53	0	0.388465799
54	0	0.3873533557
55	0	0.3863897287
56	0	0.3852925134
57	0	0.3850487752
58	0	0.3843885839
59	0	0.3841528122
60	0	0.3830117693
61	0	0.3829847493
62	0	0.3822509791
63	0	0.3818504013
64	0	0.3810520113
65	0	0.3800500034
66	0	0.3785199876
67	0	0.3772597282
68	0	0.3765863627
69	0	0.3765328417
70	0	0.3755553734
71	0	0.375552834
72	0	0.3755074393
73	0	0.3743871619
74	0	0.3733322145
75	0.01047120419	0.3722116282
76	0.01047120419	0.3713964209
77	0.01047120419	0.3704288377
78	0.02083333333	0.3692921992
79	0.02083333333	0.3685314658
80	0.02083333333	0.368529724
81	0.0310880829	0.3674676036
82	0.0310880829	0.3666778295
83	0.0310880829	0.3655733811
84	0.0310880829	0.3647109906
85	0.03092783505	0.3633853952
86	0.03092783505	0.3625013019
87	0.03092783505	0.3613745656
88	0.03092783505	0.360707088
89	0.03092783505	0.3601043601
90	0.03092783505	0.3592776638
91	0.03092783505	0.3580731118
92	0.04102564103	0.3580012077
93	0.04102564103	0.3570090163
94	0.04102564103	0.3561716307
95	0.04102564103	0.3553716937
96	0.04102564103	0.3545624752
97	0.04102564103	0.3538429078
98	0.04102564103	0.3530331458
99	0.04102564103	0.3523229278
100	0.04102564103	0.3512765238
101	0.05102040816	0.3505359371
102	0.04102564103	0.3495851048
103	0.05102040816	0.34907983
104	0.05102040816	0.3483818039
105	0.05102040816	0.3477173549
106	0.05102040816	0.3466892957
107	0.05102040816	0.3462106295
108	0.05102040816	0.3461776817
109	0.05102040816	0.3447635893
110	0.05102040816	0.3439875591
111	0.05102040816	0.3433288341
112	0.05102040816	0.3425580747
113	0.05102040816	0.3419013069
114	0.05102040816	0.3415668474
115	0.06091370558	0.3409500338
116	0.07070707071	0.3401803613
117	0.06091370558	0.3395005544
118	0.07070707071	0.3388794233
119	0.07070707071	0.3380926322
120	0.08040201005	0.3371265952
121	0.08040201005	0.3365293522
122	0.08040201005	0.3360223897
123	0.08040201005	0.3353455248
124	0.08040201005	0.3347280383
125	0.08040201005	0.334034338
126	0.08040201005	0.333366066
127	0.08040201005	0.3327241736
128	0.08040201005	0.3317869471
129	0.09	0.33142162
130	0.09	0.3306403473
131	0.09	0.3301990731
132	0.09	0.3293782498
133	0.09	0.3287330145
134	0.09	0.32825172
135	0.09	0.3274498571
136	0.09950248756	0.3267410898
137	0.09950248756	0.326247581
138	0.09950248756	0.3254394884
139	0.09950248756	0.324436847
140	0.09950248756	0.3239721578
141	0.09950248756	0.3234644861
142	0.1089108911	0.322451991
143	0.1089108911	0.3216159223
144	0.1274509804	0.3210880717
145	0.118226601	0.3202853329
146	0.118226601	0.3194717819
147	0.1274509804	0.318907131
148	0.1274509804	0.3180215238
149	0.1365853659	0.3172337463
150	0.1365853659	0.3165167058
151	0.1365853659	0.3154207321
152	0.1365853659	0.3147280965
153	0.145631068	0.3138498104
154	0.145631068	0.3129794248
155	0.154589372	0.3123719971
156	0.154589372	0.3116741353
157	0.1634615385	0.310707425
158	0.1634615385	0.3096852132
159	0.1634615385	0.3088344649
160	0.1634615385	0.308314052
161	0.1722488038	0.3076748945
162	0.1895734597	0.3069350267
163	0.1895734597	0.3060680541
164	0.1895734597	0.3055282506
165	0.1981132075	0.3049554909
166	0.1981132075	0.3044187997
167	0.214953271	0.3039503549
168	0.223255814	0.3031968343
169	0.2396313364	0.3027574403
170	0.2396313364	0.3019410504
171	0.2396313364	0.3015078583
172	0.2396313364	0.300525521
173	0.2396313364	0.2999234224
174	0.2396313364	0.2992070984
175	0.2557077626	0.2982940812
176	0.2557077626	0.2977813526
177	0.2636363636	0.2971014979
178	0.2636363636	0.2963619042
179	0.2557077626	0.2954230138
180	0.2714932127	0.2945427549
181	0.2714932127	0.2939099253
182	0.2714932127	0.2931839118
183	0.2792792793	0.2924793827
184	0.2792792793	0.2917956861
185	0.2792792793	0.2913234831
186	0.2714932127	0.29079438
187	0.2714932127	0.2899905657
188	0.2792792793	0.2894150229
189	0.2946428571	0.2887721454
190	0.2946428571	0.2882757879
191	0.3022222222	0.2877775735
192	0.3097345133	0.286979285
193	0.3097345133	0.286342158
194	0.3097345133	0.2855648998
195	0.3022222222	0.2848545506
196	0.3022222222	0.2842354142
197	0.3097345133	0.2837554505
198	0.3097345133	0.2833591895
199	0.3097345133	0.2826247536
200	0.3171806167	0.282263636
201	0.3245614035	0.2816955552
202	0.3245614035	0.2811031315
203	0.3245614035	0.2805638396
204	0.3245614035	0.2799356339
205	0.3245614035	0.2794129152
206	0.3245614035	0.2788090573
207	0.3245614035	0.278392732
208	0.3245614035	0.2776831597
209	0.3245614035	0.2771785615
210	0.3245614035	0.2766445834
211	0.3391304348	0.2761373109
212	0.3463203463	0.2755995431
213	0.3463203463	0.2751260181
214	0.3534482759	0.27468726
215	0.3605150215	0.2739322397
216	0.3605150215	0.2729033845
217	0.3744680851	0.2724049615
218	0.388185654	0.2717520303
219	0.388185654	0.2713040116
220	0.3949579832	0.2707899728
221	0.4016736402	0.2700974867
222	0.4083333333	0.2696143784
223	0.4016736402	0.2691627844
224	0.4016736402	0.2686485724
225	0.4083333333	0.2682985292
226	0.3949579832	0.267678498
227	0.4016736402	0.2670045615
228	0.4083333333	0.2665490821
229	0.4083333333	0.265916263
230	0.4083333333	0.2655322694
231	0.4083333333	0.2648887544
232	0.4083333333	0.264248571
233	0.4083333333	0.2634002249
234	0.4083333333	0.2628443033
235	0.4083333333	0.2623046536
236	0.4279835391	0.2618766611
237	0.4279835391	0.2614544242
238	0.4279835391	0.2608632178
239	0.4344262295	0.2602987175
240	0.4344262295	0.2596393585
241	0.4279835391	0.259117526
242	0.4279835391	0.2587453233
243	0.4471544715	0.2582689036
244	0.4471544715	0.2576679489
245	0.4471544715	0.2572912713
246	0.4516129032	0.2568580176
247	0.4534412955	0.2564855079
248	0.4534412955	0.2560884128
249	0.4596774194	0.2556861363
250	0.4658634538	0.2551943569
251	0.4658634538	0.254910104
252	0.4780876494	0.2543044228
253	0.4841269841	0.2537892268
254	0.4841269841	0.2531376878
255	0.4841269841	0.252907478
256	0.4901185771	0.2520423058
257	0.4860557769	0.2514519933
258	0.4920634921	0.2508804057
259	0.4980237154	0.2504617564
260	0.4980237154	0.2499832268
261	0.5039370079	0.2496057574
262	0.5098039216	0.248734756
263	0.5098039216	0.2481237863
264	0.5098039216	0.2477624065
265	0.5098039216	0.2474651154
266	0.5098039216	0.2470172611
267	0.5098039216	0.2466697161
268	0.515625	0.24624885
269	0.515625	0.245494222
270	0.5214007782	0.2450966798
271	0.5214007782	0.2448425484
272	0.5214007782	0.2445692545
273	0.5271317829	0.2437986076
274	0.5271317829	0.2433453664
275	0.5271317829	0.2431333312
276	0.5271317829	0.2427547689
277	0.5271317829	0.2425090079
278	0.5271317829	0.2421244988
279	0.5328185328	0.2418213903
280	0.5384615385	0.2414295565
281	0.5440613027	0.2409994241
282	0.5440613027	0.2403297172
283	0.5496183206	0.2398767083
284	0.5496183206	0.2395201203
285	0.5475285171	0.2390382509
286	0.5496183206	0.2386823386
287	0.5496183206	0.2381397405
288	0.5551330798	0.237615611
289	0.5496183206	0.2373026967
290	0.5496183206	0.2369331382
291	0.5496183206	0.2366874738
292	0.5496183206	0.2364063467
293	0.5551330798	0.2357935809
294	0.5606060606	0.2355058715
295	0.5606060606	0.2350537709
296	0.5551330798	0.234598666
297	0.5606060606	0.2341436419
298	0.5660377358	0.2335518926
299	0.5606060606	0.2328171554
300	0.5606060606	0.2323655078
301	0.5660377358	0.2319581296
302	0.5660377358	0.2315363487
303	0.5714285714	0.2310285524
304	0.5767790262	0.2306965408
305	0.5714285714	0.2302984668
306	0.5820895522	0.2299276412
307	0.5820895522	0.2296577801
308	0.5873605948	0.2291181608
309	0.5873605948	0.2287491597
310	0.5873605948	0.2284001495
311	0.5925925926	0.2280338467
312	0.5925925926	0.2274682757
313	0.5977859779	0.2271783842
314	0.5977859779	0.2268265636
315	0.6029411765	0.2265399393
316	0.6029411765	0.2260733499
317	0.6080586081	0.2254413994
318	0.6080586081	0.2250946531
319	0.6029411765	0.2248655815
320	0.6080586081	0.2245797179
321	0.6080586081	0.2243182099
322	0.6080586081	0.2240655219
323	0.6080586081	0.2236791477
324	0.6181818182	0.2232088774
325	0.6181818182	0.2229807494
326	0.6209386282	0.2227628669
327	0.6209386282	0.2223565115
328	0.6209386282	0.2220255918
329	0.6231884058	0.2216051105
330	0.6281588448	0.2212351558
331	0.6330935252	0.2205758115
332	0.6330935252	0.2203615072
333	0.6330935252	0.2198641341
334	0.6428571429	0.2192917134
335	0.6428571429	0.2186927723
336	0.6357142857	0.2184766362
337	0.6308243728	0.2180285573
338	0.6308243728	0.2176802201
339	0.640569395	0.2173292215
340	0.640569395	0.2169211664
341	0.640569395	0.2165828902
342	0.6357142857	0.2162219085
343	0.6357142857	0.2159421208
344	0.640569395	0.2156324821
345	0.6428571429	0.2152511673
346	0.6476868327	0.2148664807
347	0.6476868327	0.2145613113
348	0.6453900709	0.2142843929
349	0.6453900709	0.2140552597
350	0.6501766784	0.213655261
351	0.6549295775	0.2132527428
352	0.6549295775	0.2130510886
353	0.6572438163	0.2125242175
354	0.6572438163	0.2121063273
355	0.6524822695	0.2117213374
356	0.6549295775	0.2114572872
357	0.6549295775	0.2110054466
358	0.6549295775	0.2107268678
359	0.6549295775	0.2104284473
360	0.6572438163	0.2099657828
361	0.6572438163	0.2097092964
362	0.6549295775	0.2094622514
363	0.6549295775	0.2091443312
364	0.6549295775	0.2088362212
365	0.6549295775	0.2086445583
366	0.6549295775	0.2082699701
367	0.6549295775	0.2079402309
368	0.6549295775	0.2076069943
369	0.6596491228	0.2072428402
370	0.6596491228	0.2069794957
371	0.6596491228	0.2068086887
372	0.6596491228	0.2066188798
